contry_name,year,GHG_per_GDP_US
"Korea, Rep.",2000,0.752
"Korea, Rep.",2001,0.746
"Korea, Rep.",2002,0.734
"Korea, Rep.",2003,0.723
"Korea, Rep.",2004,0.713
"Korea, Rep.",2005,0.702
"Korea, Rep.",2006,0.691
"Korea, Rep.",2007,0.679
"Korea, Rep.",2008,0.668
"Korea, Rep.",2009,0.66
"Korea, Rep.",2010,0.653
"Korea, Rep.",2011,0.646
"Korea, Rep.",2012,0.64
"Korea, Rep.",2013,0.633
"Korea, Rep.",2014,0.626
"Korea, Rep.",2015,0.619
"Korea, Rep.",2016,0.613
"Korea, Rep.",2017,0.606
"Korea, Rep.",2018,0.6
Mexico,1990,0.601
Mexico,1991,0.602
Mexico,1992,0.597
Mexico,1993,0.598
Mexico,1994,0.6
Mexico,1995,0.604
Mexico,1996,0.606
Mexico,1997,0.607
Mexico,1998,0.608
Mexico,1999,0.605
Mexico,2000,0.602
Mexico,2001,0.6
Mexico,2002,0.599
Mexico,2003,0.599
Mexico,2004,0.598
Mexico,2005,0.598
Mexico,2006,0.597
Mexico,2007,0.598
Mexico,2008,0.599
Mexico,2009,0.602
Mexico,2010,0.602
Mexico,2011,0.603
Mexico,2012,0.601
Mexico,2013,0.6
Mexico,2014,0.597
Mexico,2015,0.594
Mexico,2016,0.592
Mexico,2017,0.589
Mexico,2018,0.585
Russian Federation,1990,2.296
Russian Federation,1991,2.321
Russian Federation,1992,2.385
Russian Federation,1993,2.417
Russian Federation,1994,2.444
Russian Federation,1995,2.466
Russian Federation,1996,2.487
Russian Federation,1997,2.485
Russian Federation,1998,2.494
Russian Federation,1999,2.492
Russian Federation,2000,2.476
Russian Federation,2001,2.455
Russian Federation,2002,2.43
Russian Federation,2003,2.401
Russian Federation,2004,2.367
Russian Federation,2005,2.327
Russian Federation,2006,2.284
Russian Federation,2007,2.234
Russian Federation,2008,2.185
Russian Federation,2009,2.147
Russian Federation,2010,2.113
Russian Federation,2011,2.082
Russian Federation,2012,2.05
Russian Federation,2013,2.018
Russian Federation,2014,1.989
Russian Federation,2015,1.963
Russian Federation,2016,1.94
Russian Federation,2017,1.918
Russian Federation,2018,1.896
Saudi Arabia,1990,0.649
Saudi Arabia,1991,0.638
Saudi Arabia,1992,0.642
Saudi Arabia,1993,0.652
Saudi Arabia,1994,0.665
Saudi Arabia,1995,0.677
Saudi Arabia,1996,0.688
Saudi Arabia,1997,0.689
Saudi Arabia,1998,0.694
Saudi Arabia,1999,0.703
Saudi Arabia,2000,0.709
Saudi Arabia,2001,0.717
Saudi Arabia,2002,0.729
Saudi Arabia,2003,0.736
Saudi Arabia,2004,0.742
Saudi Arabia,2005,0.746
Saudi Arabia,2006,0.751
Saudi Arabia,2007,0.758
Saudi Arabia,2008,0.767
Saudi Arabia,2009,0.778
Saudi Arabia,2010,0.79
Saudi Arabia,2011,0.798
Saudi Arabia,2012,0.806
Saudi Arabia,2013,0.814
Saudi Arabia,2014,0.823
Saudi Arabia,2015,0.832
Saudi Arabia,2016,0.839
Saudi Arabia,2017,0.846
Saudi Arabia,2018,0.849
Turkey,1990,0.565
Turkey,1991,0.566
Turkey,1992,0.564
Turkey,1993,0.556
Turkey,1994,0.555
Turkey,1995,0.553
Turkey,1996,0.551
Turkey,1997,0.547
Turkey,1998,0.543
Turkey,1999,0.542
Turkey,2000,0.542
Turkey,2001,0.541
Turkey,2002,0.539
Turkey,2003,0.537
Turkey,2004,0.531
Turkey,2005,0.525
Turkey,2006,0.52
Turkey,2007,0.517
Turkey,2008,0.514
Turkey,2009,0.514
Turkey,2010,0.512
Turkey,2011,0.508
Turkey,2012,0.504
Turkey,2013,0.498
Turkey,2014,0.492
Turkey,2015,0.486
Turkey,2016,0.481
Turkey,2017,0.476
Turkey,2018,0.472
United States,1990,0.662
United States,1991,0.66
United States,1992,0.655
United States,1993,0.651
United States,1994,0.645
United States,1995,0.639
United States,1996,0.634
United States,1997,0.63
United States,1998,0.623
United States,1999,0.615
United States,2000,0.607
United States,2001,0.6
United States,2002,0.592
United States,2003,0.584
United States,2004,0.576
United States,2005,0.568
United States,2006,0.56
United States,2007,0.552
United States,2008,0.545
United States,2009,0.538
United States,2010,0.531
United States,2011,0.524
United States,2012,0.517
United States,2013,0.51
United States,2014,0.503
United States,2015,0.496
United States,2016,0.489
United States,2017,0.481
United States,2018,0.475
South Africa,1990,1.402
South Africa,1991,1.4
South Africa,1992,1.405
South Africa,1993,1.413
South Africa,1994,1.414
South Africa,1995,1.415
South Africa,1996,1.413
South Africa,1997,1.414
South Africa,1998,1.417
South Africa,1999,1.407
South Africa,2000,1.395
South Africa,2001,1.393
South Africa,2002,1.393
South Africa,2003,1.395
South Africa,2004,1.399
South Africa,2005,1.397
South Africa,2006,1.39
South Africa,2007,1.383
South Africa,2008,1.381
South Africa,2009,1.376
South Africa,2010,1.373
South Africa,2011,1.365
South Africa,2012,1.36
South Africa,2013,1.354
South Africa,2014,1.35
South Africa,2015,1.341
South Africa,2016,1.334
South Africa,2017,1.328
South Africa,2018,1.322
